date,location,month,plot,trtcode,damage,quadrat,kdr_insects.tested,kdr_percent,kdr_prop_ddpcr,R,kdr_prop,alleles_screened,year,years,days,days_s,resid
2017-07-31,Arthur River,August,1,NA,NA,3,20,97.24,0.9723999999999999,1,1,40,2017,0,-1,-0.9641669335568628,0.011417427851770372
2019-09-07,Tintinara,September,N1,1,0.5,1,50,49,0.49,0.4539178664149162,0.4539178664149162,100,2019,2,803,1.4908505329503714,0.011093055157495915
2018-09-22,Tintinara,September,A3,1,1,1,16,17.66,0.1766,0.09918665766215462,0.09918665766215462,32,2018,1,453,0.4221240238987147,0.01084607641040894
2019-09-07,Tintinara,September,D2,1,0.5,1,50,37,0.37,0.31848993122557023,0.31848993122557023,100,2019,2,803,1.4908505329503714,0.01064742765181404
2020-06-26,Arthur River,June,10,NA,NA,1,15,83,0.83,0.8396756387084168,0.8396756387084168,30,2020,3,1060,2.275601141025445,0.010550106342134567
2017-07-31,Arthur River,August,2,NA,NA,4,1,77.28,0.7728,0.7752229654403567,0.7752229654403567,2,2017,0,-1,-0.9641669335568628,0.010248255881007827
2018-06-02,Tintinara,June,M3,1,2,1,44,43.31,0.43310000000000004,0.39061754887935146,0.39061754887935146,88,2018,1,341,0.08013154100218457,0.010073917042266718
2017-06-27,Tintinara,June,K1,1,3,1,50,37.97214,0.37972140000000004,0.3312077043206663,0.3312077043206663,100,2017,0,1,-0.9580599249337104,0.009141709850870552
2017-10-18,Tintinara,October,C2,1,1,1,43,40.46839,0.4046839,0.36148444403106544,0.36148444403106544,86,2017,0,114,-0.6130139377256042,0.007376218966347804
2017-10-18,Tintinara,October,D1,1,2,1,26,42.1595,0.421595,0.38110525108919974,0.38110525108919974,52,2017,0,114,-0.6130139377256042,0.006966274586636464
2019-09-15,Arthur River,September,5,NA,NA,1,30,81,0.81,0.821871921182266,0.821871921182266,60,2019,2,775,1.4053524122262389,0.006267042983966401
2017-09-28,Arthur River,September,12,NA,NA,2,18,73.3,0.733,0.73470715835141,0.73470715835141,36,2017,0,58,-0.7840101791738692,0.006215188942842823
2019-09-15,Arthur River,September,12,NA,NA,1,40,70,0.7,0.6984262419416003,0.6984262419416003,80,2019,2,775,1.4053524122262389,0.005243604563513321
2017-10-18,Tintinara,October,D2,1,2,1,42,36.71368,0.3671368,0.32193372398464337,0.32193372398464337,84,2017,0,114,-0.6130139377256042,0.004744083225659817
2018-09-22,Tintinara,September,D1,1,1,1,42,39,0.39,0.3486002496370074,0.3486002496370074,84,2018,1,453,0.4221240238987147,0.004066351758938157
2018-06-02,Tintinara,June,I3,1,4,1,46,40.15,0.40149999999999997,0.36217877343784793,0.36217877343784793,92,2018,1,341,0.08013154100218457,0.003579372188298078
2019-09-15,Arthur River,September,2,NA,NA,1,30,77,0.77,0.7804270288757512,0.7804270288757512,60,2019,2,775,1.4053524122262389,0.00285416281173563
2019-09-15,Arthur River,September,3,NA,NA,1,40,67,0.67,0.6683163316836683,0.6683163316836683,80,2019,2,775,1.4053524122262389,0.0018243201427204476
2020-06-26,Arthur River,June,2,NA,NA,1,22,66,0.66,0.6579358874120407,0.6579358874120407,44,2020,3,1060,2.275601141025445,9.880683706732856e-4
2019-09-15,Arthur River,September,1,NA,NA,1,30,80,0.8,0.817179205564708,0.817179205564708,60,2019,2,775,1.4053524122262389,4.097235185771817e-4
2017-09-28,Arthur River,September,11,NA,NA,1,11,80.45,0.8045,0.8229879233172874,0.8229879233172874,22,2017,0,58,-0.7840101791738692,-2.1815209242803777e-4
2017-07-31,Arthur River,August,4,NA,NA,4,10,80.62,0.8062,0.8251889954017614,0.8251889954017614,20,2017,0,-1,-0.9641669335568628,-4.6123563354624904e-4
2019-06-06,Tintinara,June,M3,1,2.5,1,50,37,0.37,0.3328679408791103,0.3328679408791103,100,2019,2,710,1.2068746319737882,-0.002045329713517646
2018-10-11,Arthur River,October,8,NA,NA,1,35,87.13,0.8713,0.9008672248803827,0.9008672248803827,70,2018,1,436,0.37021445060191993,-0.002169189429399174
2017-10-18,Tintinara,October,L2,1,3,1,18,46.40373,0.46403730000000004,0.4398622230497114,0.4398622230497114,36,2017,0,114,-0.6130139377256042,-0.0024614690833333077
2019-06-06,Tintinara,June,L2,1,1.5,1,50,46,0.46,0.435830550918197,0.435830550918197,100,2019,2,710,1.2068746319737882,-0.0029396508621766016
2020-06-26,Arthur River,June,8,NA,NA,1,13,60,0.6,0.5944195316392625,0.5944195316392625,26,2020,3,1060,2.275601141025445,-0.002940353435925061
2019-07-05,Arthur River,July,12,NA,NA,1,20,85,0.85,0.8781848954759618,0.8781848954759618,40,2019,2,703,1.1855001017927551,-0.003445464967650876
2018-07-25,Arthur River,July,8,NA,0,1,50,89.13,0.8913,0.9256650561732348,0.9256650561732348,100,2018,1,358,0.13204111429897933,-0.004060456953280919
2017-07-31,Arthur River,August,12,NA,NA,3,11,95.62,0.9562,1,1,22,2017,0,-1,-0.9641669335568628,-0.004782572148229508
2018-10-11,Arthur River,October,11,NA,NA,1,45,79.92,0.7992,0.8229979826331023,0.8229979826331023,90,2018,1,436,0.37021445060191993,-0.0055270323517946475
2018-07-25,Arthur River,July,9,NA,0,1,28,76.17,0.7617,0.780874653526332,0.780874653526332,56,2018,1,358,0.13204111429897933,-0.005840995573706406
2019-09-07,Tintinara,September,E3,1,2,1,50,21,0.21,0.15633954996006952,0.15633954996006952,100,2019,2,803,1.4908505329503714,-0.006207902418695355
2017-10-18,Tintinara,October,I3,1,1,1,25,22.83813,0.2283813,0.1774084886593308,0.1774084886593308,50,2017,0,114,-0.6130139377256042,-0.0064260423480548565
2017-07-31,Arthur River,August,3,NA,NA,4,2,95.38,0.9538,1,1,4,2017,0,-1,-0.9641669335568628,-0.007182572148229577
2017-09-28,Arthur River,September,5,NA,NA,2,16,87.69,0.8769,0.917837548507962,0.917837548507962,32,2017,0,58,-0.7840101791738692,-0.011550414606347268
2017-08-09,Tintinara,August,I3,1,2,1,50,42,0.42,0.40040881217351804,0.40040881217351804,100,2017,0,44,-0.8267592395359354,-0.011669708347311195
2019-09-07,Tintinara,September,I1,1,0.5,1,50,38,0.38,0.3562113932738504,0.3562113932738504,100,2019,2,803,1.4908505329503714,-0.012652686674267371
2018-07-25,Arthur River,July,6,NA,1,1,40,92.87,0.9287000000000001,0.9777987375752739,0.9777987375752739,80,2018,1,358,0.13204111429897933,-0.012683528612205567
2017-10-18,Tintinara,October,G3,1,1,1,10,36.24517,0.36245170000000004,0.3365108383389919,0.3365108383389919,20,2017,0,114,-0.6130139377256042,-0.012809541698503336
2017-09-18,Tintinara,September,E3,1,3,1,50,33,0.33,0.3001315212626041,0.3001315212626041,100,2017,0,84,-0.704619067072889,-0.013145958992919201
2019-06-06,Tintinara,June,D2,1,3,1,50,43,0.43,0.41369180094364816,0.41369180094364816,100,2019,2,710,1.2068746319737882,-0.013395792666928807
2018-09-22,Tintinara,September,D2,1,1,1,50,32.37,0.3237,0.29333333333333333,0.29333333333333333,100,2018,1,453,0.4221240238987147,-0.013444589402176535
2017-10-18,Tintinara,October,C2,1,1,1,43,40.46839,0.4046839,0.38578548051175243,0.38578548051175243,86,2017,0,114,-0.6130139377256042,-0.014076483264902236
2017-07-31,Arthur River,August,5,NA,NA,3,22,88.9,0.889,0.9346262405535828,0.9346262405535828,44,2017,0,-1,-0.9641669335568628,-0.014271297312033332
2018-09-22,Tintinara,September,C2,1,0,1,35,65.39,0.6539,0.668416109607204,0.668416109607204,70,2018,1,453,0.4221240238987147,-0.014363762770309374
2019-09-15,Arthur River,September,7,NA,NA,1,40,75,0.75,0.7777108712770392,0.7777108712770392,80,2019,2,775,1.4053524122262389,-0.014748041512980127
2019-06-06,Tintinara,June,K1,1,3,1,50,40,0.4,0.3824648637678218,0.3824648637678218,100,2019,2,710,1.2068746319737882,-0.015828977343666645
2018-07-25,Arthur River,July,2,NA,0,1,50,84.17,0.8417,0.8834449915247397,0.8834449915247397,100,2018,1,358,0.13204111429897933,-0.01638902304517925
2017-10-18,Tintinara,October,K1,1,2,1,43,39.97849,0.3997849,0.3831931325543338,0.3831931325543338,86,2017,0,114,-0.6130139377256042,-0.016686985453111796
2019-07-05,Arthur River,July,2,NA,NA,1,20,86,0.86,0.9048713235294118,0.9048713235294118,40,2019,2,703,1.1855001017927551,-0.017003966067030966
2019-09-07,Tintinara,September,D1,1,0.5,1,30,31,0.31,0.28292638233542533,0.28292638233542533,60,2019,2,803,1.4908505329503714,-0.01795744131198034
2018-10-11,Arthur River,October,6,NA,NA,1,37,75.26,0.7526,0.7845843672456576,0.7845843672456576,74,2018,1,436,0.37021445060191993,-0.01821589225752164
2018-06-02,Tintinara,June,C2,1,2,1,30,27.9,0.27899999999999997,0.24828795724068817,0.24828795724068817,60,2018,1,341,0.08013154100218457,-0.018378999939431654
2019-07-05,Arthur River,July,11,NA,NA,1,20,77,0.77,0.8047693336304881,0.8047693336304881,40,2019,2,703,1.1855001017927551,-0.018634970622582337
2017-07-31,Arthur River,August,6,NA,NA,2,4,84.96,0.8495999999999999,0.8963306506615741,0.8963306506615741,8,2017,0,-1,-0.9641669335568628,-0.019864348897456793
2019-07-05,Arthur River,July,5,NA,NA,1,10,77,0.77,0.806482899438489,0.806482899438489,20,2019,2,703,1.1855001017927551,-0.020147688693760536
2017-09-18,Tintinara,September,G3,1,8,1,50,31,0.31,0.28591485734342875,0.28591485734342875,100,2017,0,84,-0.704619067072889,-0.020595635963602792
2019-09-07,Tintinara,September,A3,1,0.5,1,50,22,0.22,0.18409477156852944,0.18409477156852944,100,2019,2,803,1.4908505329503714,-0.020709923351088663
